FIPS13,YearBuilt,TotalUnits
"060013522021051","2001",1
"060013522021051","2009",1
"060013530012030","2000",1
"060013530012041","2004",1
"060013530012041","2009",1
"060013540011065","2004",1
"060013540011065","2007",1
"060013551171039","2017",0
"060014001001007","2006",1
"060014001001015","2004",1
"060014001001017","2017",1
"060014001001023","2009",2
"060014001001024","2000",1
"060014001001024","2002",1
"060014001001024","2005",1
"060014001001024","2011",1
"060014001001024","2001",2
"060014001001024","2003",2
"060014001001024","2008",2
"060014001001024","2009",2
"060014001001026","2001",1
"060014001001026","2004",1
"060014001001026","2005",1
"060014001001026","2006",1
"060014001001026","2007",1
"060014001001026","2010",1
"060014001001026","2002",2
"060014001001026","2000",4
"060014001001027","2003",1
"060014001001027","2004",1
"060014001001027","2010",1
"060014001001027","2005",2
"060014001001027","2000",3
"060014001001032","2000",1
"060014001001033","2000",1
"060014001001033","2002",1
"060014001001033","2005",1
"060014001001033","2007",1
"060014001001033","2009",1
"060014001001033","2010",1
"060014001001033","2013",1
"060014001001033","2001",2
"060014001001033","2003",2
"060014001001033","2006",2
"060014001001033","2004",6
"060014001001034","2000",1
"060014001001034","2003",1
"060014001001036","2004",1
"060014001001036","2008",1
"060014001001036","2014",1
"060014001001036","2015",1
"060014001001036","2002",2
"060014001001036","2005",2
"060014001001036","2007",2
"060014001001036","2001",3
"060014001001036","2006",3
"060014001001036","2010",3
"060014001001036","2000",4
"060014001001037","2001",1
"060014001001037","2003",1
"060014001001037","2004",1
"060014001001037","2016",1
"060014001001037","2000",2
"060014001001037","2002",2
"060014001001038","2000",1
"060014001001038","2006",1
"060014001001038","2001",2
"060014001001039","2003",1
"060014001001039","2005",1
"060014001001039","2006",1
"060014001001039","2008",1
"060014001001039","2010",1
"060014001001039","2017",1
"060014001001039","2000",2
"060014001001039","2002",2
"060014001001039","2007",2
"060014001001039","2009",2
"060014001001039","2001",3
"060014001001042","2005",1
"060014001001042","2006",1
"060014001001042","2007",1
"060014001001043","2002",1
"060014001001043","2007",1
"060014001001043","2010",1
"060014001001043","2012",1
"060014001001043","2001",2
"060014001001043","2008",2
"060014001001043","2000",4
"060014001001043","2003",4
"060014001001044","2001",1
"060014001001044","2008",1
"060014001001044","2009",1
"060014001001044","2017",1
"060014001001044","2002",2
"060014001001044","2004",2
"060014001001044","2006",2
"060014001001044","2003",5
"060014001001044","2000",6
"060014001001045","2002",1
"060014001001045","2003",1
"060014001001045","2004",1
"060014001001045","2005",1
"060014001001045","2009",1
"060014001001045","2010",1
"060014001001045","2011",1
"060014001001045","2016",1
"060014001001046","2006",1
"060014001001046","2016",1
"060014001001047","2007",1
"060014001001047","2003",2
"060014001001049","2003",1
"060014001001049","2004",1
"060014001001049","2006",1
"060014001001049","2008",1
"060014001001049","2015",1
"060014001001049","2000",2
"060014001001049","2002",2
"060014001001049","2001",4
"060014001001050","2015",1
"060014001001052","2001",1
"060014001001052","2005",1
"060014001001053","2001",1
"060014001001053","2002",1
"060014001001053","2007",1
"060014001001053","2011",1
"060014001001053","2017",1
"060014001001053","2006",2
"060014001001056","2000",1
"060014001001056","2002",1
"060014001001056","2006",1
"060014001001057","2006",1
"060014001001057","2008",1
"060014001001057","2016",1
"060014001001057","2017",1
"060014001001057","2000",2
"060014001001057","2001",2
"060014001001057","2002",2
"060014001001061","2016",2
"060014001001069","2015",1
"060014003001016","2013",1
"060014003002008","2016",1
"060014003003020","2002",1
"060014003003027","2005",1
"060014003003030","2017",33
"060014003004008","2009",1
"060014003004016","2015",0
"060014004001001","2011",6
"060014004002002","2015",6
"060014004002016","2004",1
"060014004003011","2006",1
"060014005001001","2008",16
"060014005002005","2013",2
"060014005003000","2001",2
"060014005003000","2007",6
"060014006001001","2000",4
"060014006001006","2007",2
"060014007001002","2006",4
"060014007001019","2014",2
"060014007001026","2016",2
"060014007001032","2012",1
"060014007002012","2014",1
"060014007002015","2005",1
"060014007002015","2008",1
"060014007002015","2002",11
"060014007004011","2002",1
"060014007004012","2003",1
"060014007004028","2013",61
"060014008001002","2003",2
"060014008001004","2005",26
"060014008001007","2005",2
"060014008001008","2001",1
"060014008001013","2010",14
"060014008001013","2015",16
"060014008001013","2006",1194
"060014008001014","2005",9
"060014008001014","2017",15
"060014008001016","2008",1
"060014008001019","2005",7
"060014008001020","2005",12
"060014008001021","2005",13
"060014008001024","2000",1
"060014008002001","2007",2
"060014008002002","2012",1
"060014008002002","2010",3
"060014008002009","2007",1
"060014008003012","2008",8
"060014008003014","2007",4
"060014009001010","2017",1
"060014009001010","2007",1
"060014009001011","2002",2
"060014009002000","2003",1
"060014009002000","2014",1
"060014009002001","2010",1
"060014009002010","2000",51
"060014009002011","2000",34
"060014010001013","2007",2
"060014010001013","2005",36
"060014010001018","2006",2
"060014010001019","2013",1
"060014010002003","2008",2
"060014010003005","2016",1
"060014010003009","2002",2
"060014010003016","2014",1
"060014010003016","2015",1
"060014010004001","2003",1
"060014010004001","2006",4
"060014010004009","2009",68
"060014010004018","2006",2
"060014010005009","2005",1
"060014010005009","2008",2
"060014010005010","2006",3
"060014010006004","2008",19
"060014010006005","2001",2
"060014010006008","2005",62
"060014011002000","2000",10
"060014011002010","2003",4
"060014011002010","2006",4
"060014011002010","2008",6
"060014011003001","2001",2
"060014011003009","2009",17
"060014011004005","2013",2
"060014011004005","2004",51
"060014011004006","2017",43
"060014011004007","2009",10
"060014011004007","2007",12
"060014011004013","2011",3
"060014011004026","2006",1
"060014012001006","2011",2
"060014012001014","2002",1
"060014012001018","2004",1
"060014012001019","2013",2
"060014012002005","2006",11
"060014012002005","2007",19
