,zip,year,units_built,price
0,94002,2010,3.012671691,887752.0
7,94005,2010,4.45583,566928.0
13,94010,2010,29.96034702,1318145.0
20,94014,2010,209.0068306,540374.0
29,94015,2010,1.0,531530.0
35,94018,2010,0.01134216,733441.0
42,94019,2010,14.6237224,816202.0
49,94020,2010,0.363946,870117.0
56,94021,2010,0.0827664,972372.0
62,94022,2010,19.859767,2026724.0
70,94024,2010,22.45259916,1537878.0
78,94025,2010,26.422419580000003,1152284.0
85,94027,2010,18.6775154,2334279.0
92,94028,2010,7.960572578,1813079.0
100,94030,2010,160.983582,909763.0
106,94037,2010,0.00781251,775763.0
111,94038,2010,2.769531,712325.0
116,94040,2010,39.580180399999996,1092401.0
124,94041,2010,8.74118,985580.0
132,94043,2010,34.97424,652113.0
140,94044,2010,4.0,610209.0
147,94060,2010,0.168934,
153,94061,2010,9.260805,889491.0
160,94062,2010,19.25559965,1099040.0
167,94063,2010,0.1485576,580374.0
174,94066,2010,1.9955986000000001,589092.0
181,94070,2010,13.239882000000001,878447.0
188,94074,2010,0.0952381,
194,94080,2010,5.54174114,553903.0
200,94085,2010,6.894667,534295.0
208,94086,2010,233.1406271,687192.0
216,94087,2010,6.1825098,1046867.0
224,94089,2010,6.428571,543079.0
232,94102,2010,38.250188,557562.0
242,94103,2010,111.321044,584437.0
259,94107,2010,18.0,693176.0
269,94108,2010,2.757408,778087.0
274,94109,2010,36.055810099999995,772909.0
283,94110,2010,87.3818847,830192.0
300,94112,2010,4.894241,589345.0
310,94114,2010,2.638865,972307.0
320,94115,2010,0.02528596,874170.0
329,94116,2010,3.1880614,794309.0
339,94117,2010,8.294468,822439.0
349,94118,2010,151.01685733,1104441.0
358,94121,2010,3.0,878138.0
367,94122,2010,5.856516,760218.0
376,94123,2010,14.940941620000002,1289824.0
385,94124,2010,273.19552,483288.0
395,94127,2010,3.4539239999999998,950676.0
404,94131,2010,1.363738,865427.0
414,94132,2010,0.6072582000000001,691303.0
424,94133,2010,0.0546516,879382.0
431,94134,2010,26.804479999999998,579719.0
441,94158,2010,0.0,780619.0
451,94301,2010,9.689609999999998,1799595.0
459,94303,2010,85.38002069500001,817569.0
467,94304,2010,0.0,2067584.0
475,94305,2010,2.130807,1806549.0
483,94306,2010,42.3939468,1402267.0
491,94401,2010,1.299145,556574.0
497,94402,2010,4.03276855,877525.0
504,94403,2010,43.729411,767555.0
511,94501,2010,10.0,507998.0
518,94503,2010,0.04942632,317964.0
526,94505,2010,0.0648994,281560.0
534,94506,2010,0.00515242,1301564.0
542,94507,2010,10.562835,1186040.0
550,94508,2010,1.691574,680661.0
558,94509,2010,0.9731236,184323.0
566,94510,2010,25.6353531,349209.0
574,94511,2010,0.0,187313.0
585,94513,2010,0.24676855,286002.0
593,94514,2010,0.0219378,433626.0
601,94515,2010,25.4813988,551614.0
609,94516,2010,0.0,794128.0
613,94517,2010,1.507042,811193.0
619,94518,2010,7.0,230625.0
627,94519,2010,9.977105,
635,94520,2010,1.0,
643,94521,2010,4.6334673,
651,94523,2010,1.5725184,348237.0
659,94525,2010,1.0,392318.0
665,94526,2010,1.2954780000000001,718115.0
673,94528,2010,0.0,1454214.0
681,94530,2010,3.979185,407706.0
689,94531,2010,19.98638,313428.0
696,94533,2010,1.8782354,200147.0
702,94534,2010,17.8154547,318804.0
710,94536,2010,28.0,505432.0
718,94538,2010,1239.94009044,462221.0
726,94539,2010,75.7369072,802791.0
734,94541,2010,209.10894899999997,325492.0
742,94542,2010,5.7420386,502995.0
